date,action,price,contracts,portfolio_value,atr,stop_loss_price,take_profit_price,profit,exit_reason,entry_price,entry_portfolio,position_from,position_to
2021-09-15 14:40:00+00:00,buy,15467.0,1,100.0,0.1205439593785017,15466.58568370693,15467.777816102478,,,,,0,1
2021-09-15 14:45:00+00:00,sell,15466.58568370693,1,100.0,,,,-0.0,stop_loss,15467.0,100.0,1,0
2021-09-15 14:45:00+00:00,buy,15478.5,1,100.0,0.13228892090890826,15478.045315620891,15479.353601071285,,,,,0,1
2021-09-15 14:50:00+00:00,sell,15478.045315620891,1,100.0,,,,-0.0,stop_loss,15478.5,100.0,1,0
2021-09-15 14:50:00+00:00,buy,15477.0,1,100.0,0.11617409742840669,15476.600703165504,15477.749619343322,,,,,0,1
2021-09-15 14:55:00+00:00,sell,15476.600703165504,1,100.0,,,,-0.0,stop_loss,15477.0,100.0,1,0
2021-09-15 14:55:00+00:00,buy,15476.75,1,100.0,0.0830101376372468,15476.464689539895,15477.285627185767,,,,,0,1
2021-09-15 15:00:00+00:00,sell,15476.464689539895,1,100.0,,,,-0.0,stop_loss,15476.75,100.0,1,0
2021-09-15 15:00:00+00:00,buy,15488.75,1,100.0,0.11046614125264033,15488.370321728358,15489.4627884623,,,,,0,1
2021-09-15 15:05:00+00:00,sell,15488.370321728358,1,100.0,,,,-0.0,stop_loss,15488.75,100.0,1,0
2021-09-15 15:05:00+00:00,buy,15490.0,1,100.0,0.08027368371462892,15489.72409488423,15490.517970075982,,,,,0,1
2021-09-15 15:10:00+00:00,sell,15489.72409488423,1,100.0,,,,-0.0,stop_loss,15490.0,100.0,1,0
2021-09-15 15:10:00+00:00,buy,15494.75,1,100.0,0.0638292007339599,15494.53061548688,15495.161861203127,,,,,0,1
2021-09-15 15:15:00+00:00,sell,15494.53061548688,1,100.0,,,,-0.0,stop_loss,15494.75,100.0,1,0
2021-09-15 15:15:00+00:00,buy,15505.75,1,100.0,0.07717073937553648,15505.48475987651,15506.247948167922,,,,,0,1
2021-09-15 15:20:00+00:00,sell,15505.48475987651,1,100.0,,,,-0.0,stop_loss,15505.75,100.0,1,0
2021-09-15 15:20:00+00:00,buy,15499.75,1,100.0,0.07395351288659653,15499.495817662895,15500.227188848405,,,,,0,1
2021-09-15 15:25:00+00:00,sell,15499.495817662895,1,100.0,,,,-0.0,stop_loss,15499.75,100.0,1,0
2021-09-15 15:25:00+00:00,buy,15498.75,1,100.0,0.0657603740369744,15498.523977936826,15499.174322198265,,,,,0,1
2021-09-15 15:30:00+00:00,sell,15498.523977936826,1,100.0,,,,-0.0,stop_loss,15498.75,100.0,1,0
2021-09-15 15:30:00+00:00,buy,15494.75,1,100.0,0.05423528779639826,15494.563590299264,15495.099955986083,,,,,0,1
2021-09-15 15:35:00+00:00,sell,15494.563590299264,1,100.0,,,,-0.0,stop_loss,15494.75,100.0,1,0
2021-09-15 15:35:00+00:00,buy,15509.5,1,100.0,0.09295223783950014,15509.180517988518,15510.099779099059,,,,,0,1
