date,trade_type,price,portfolio_value,profitable,position_from,position_to,exit_reason
2021-09-07 13:30:00+00:00,Short,15696.75,99995.0,False,0.0,15696.75,
2021-09-07 13:55:00+00:00,Flat,15692.0,100255.0,True,15696.75,0.0,
2021-09-08 13:30:00+00:00,Short,15600.75,100250.0,False,0.0,0.0,
2021-09-08 13:35:00+00:00,Flat,15597.25,100005.0,True,0.0,0.0,
2021-09-08 19:25:00+00:00,Long,15585.75,100000.0,False,0.0,0.0,
2021-09-08 19:30:00+00:00,Flat,15585.5,99985.0,False,0.0,0.0,
2021-09-09 15:05:00+00:00,Short,15585.75,99980.0,False,0.0,0.0,
2021-09-09 15:10:00+00:00,Flat,15580.25,100060.0,True,0.0,0.0,
2021-09-10 13:30:00+00:00,Short,15583.0,100055.0,False,0.0,0.0,
2021-09-10 13:35:00+00:00,Flat,15591.0,100240.0,False,0.0,0.0,
2021-09-13 13:30:00+00:00,Short,15388.5,100235.0,False,0.0,0.0,
2021-09-13 13:45:00+00:00,Flat,15387.25,100425.0,True,0.0,0.0,
2021-09-13 16:55:00+00:00,Long,15445.25,100420.0,False,0.0,0.0,
2021-09-13 18:00:00+00:00,Flat,15440.0,100395.0,False,0.0,0.0,
2021-09-13 18:05:00+00:00,Long,15439.0,100390.0,False,0.0,0.0,
2021-09-13 18:10:00+00:00,Flat,15439.0,100450.0,False,0.0,0.0,
2021-09-15 13:30:00+00:00,Short,15454.0,100445.0,False,0.0,0.0,
2021-09-15 13:45:00+00:00,Flat,15460.5,100035.0,False,0.0,0.0,
2021-09-15 14:45:00+00:00,Long,15478.5,100030.0,False,0.0,0.0,
2021-09-15 14:55:00+00:00,Flat,15476.75,100260.0,False,0.0,0.0,
2021-09-15 20:00:00+00:00,Long,15497.5,100255.0,False,0.0,0.0,
2021-09-16 13:30:00+00:00,Flat,15427.0,100105.0,False,0.0,0.0,
2021-09-16 15:10:00+00:00,Short,15529.0,100100.0,False,0.0,0.0,
2021-09-16 15:20:00+00:00,Flat,15505.0,100365.0,True,0.0,0.0,
2021-09-17 15:10:00+00:00,Short,15291.25,100360.0,False,0.0,0.0,
2021-09-17 15:25:00+00:00,Flat,15299.5,100245.0,False,0.0,0.0,
2021-09-20 13:30:00+00:00,Short,14925.0,100240.0,False,0.0,0.0,
2021-09-20 13:35:00+00:00,Flat,14947.75,100730.0,False,0.0,0.0,
2021-09-20 15:10:00+00:00,Short,14824.5,100725.0,False,0.0,0.0,
2021-09-20 15:25:00+00:00,Flat,14875.25,99005.0,False,0.0,0.0,
2021-09-20 16:20:00+00:00,Long,14992.75,99000.0,False,0.0,0.0,
2021-09-20 18:20:00+00:00,Flat,15011.0,99305.0,True,0.0,0.0,
2021-09-20 18:40:00+00:00,Short,15005.5,99300.0,False,0.0,0.0,
2021-09-20 18:50:00+00:00,Flat,15001.75,99255.0,True,0.0,0.0,
2021-09-22 14:00:00+00:00,Long,15181.75,99250.0,False,0.0,0.0,
2021-09-22 14:40:00+00:00,Flat,15149.5,98265.0,False,0.0,0.0,
2021-09-22 15:00:00+00:00,Short,15120.75,98260.0,False,0.0,0.0,
2021-09-22 15:10:00+00:00,Flat,15175.0,96935.0,False,0.0,0.0,
2021-09-24 13:30:00+00:00,Short,15274.0,96930.0,False,0.0,0.0,
2021-09-24 13:35:00+00:00,Flat,15276.25,96830.0,False,0.0,0.0,
2021-09-27 13:30:00+00:00,Short,15181.75,96825.0,False,0.0,0.0,
2021-09-27 13:40:00+00:00,Flat,15174.5,96670.0,True,0.0,0.0,
2021-09-27 14:45:00+00:00,Long,15199.75,96665.0,False,0.0,0.0,
2021-09-27 15:05:00+00:00,Flat,15208.75,97180.0,True,0.0,0.0,
2021-09-27 15:10:00+00:00,Short,15229.5,97175.0,False,0.0,0.0,
2021-09-27 15:25:00+00:00,Flat,15213.75,97355.0,True,0.0,0.0,
2021-09-28 13:45:00+00:00,Long,14788.0,97350.0,False,0.0,0.0,
2021-09-28 15:15:00+00:00,Flat,14844.5,98055.0,True,0.0,0.0,
2021-09-29 14:10:00+00:00,Long,14842.0,98050.0,False,0.0,0.0,
2021-09-29 14:15:00+00:00,Flat,14832.0,97925.0,False,0.0,0.0,
2021-09-29 14:40:00+00:00,Long,14841.0,97920.0,False,0.0,0.0,
2021-09-29 14:45:00+00:00,Flat,14829.25,98195.0,False,0.0,0.0,
2021-09-29 14:50:00+00:00,Long,14843.25,98190.0,False,0.0,0.0,
2021-09-29 15:00:00+00:00,Flat,14821.75,97940.0,False,0.0,0.0,
