date,action,price,contracts,portfolio_value,atr,stop_loss_price,take_profit_price,profit,exit_reason,entry_price,entry_portfolio,position_from,position_to
2021-05-25 18:50:00+00:00,sell,13686.0,1,100000.0,-0.27056527636745287,,,,,,,0,0
2021-05-25 20:00:00+00:00,buy,13703.0,1,92808.5,,,,-7191.5,end_of_day,13686.0,100000.0,0,0
2021-05-26 13:30:00+00:00,sell,13702.5,1,92808.5,-0.14165722363170305,,,,,,,0,-1
2021-05-26 20:00:00+00:00,buy,13710.5,1,85793.25,,,,-7015.25,end_of_day,13702.5,92808.5,-1,0
2021-05-27 13:30:00+00:00,sell,13699.25,1,85793.25,-0.14247007901618108,,,,,,,0,-1
2021-05-27 20:00:00+00:00,buy,13704.75,1,78830.875,,,,-6962.375,end_of_day,13699.25,85793.25,-1,0
2021-05-28 13:30:00+00:00,sell,13732.5,1,78830.875,-0.22764180755791658,,,,,,,0,-1
2021-05-28 16:55:00+00:00,buy,13686.5,1,72907.625,,,,-5923.25,end_of_day,13732.5,78830.875,-1,0
2021-05-31 18:00:00+00:00,sell,13674.0,1,72907.625,-0.3578574156449142,,,,,,,0,-1
2021-05-31 20:00:00+00:00,buy,13686.0,1,65824.625,,,,-7083.0,end_of_day,13674.0,72907.625,-1,0
2021-06-01 13:30:00+00:00,sell,13653.0,1,65824.625,-0.033557209244541676,,,,,,,0,-1
2021-06-01 20:00:00+00:00,buy,13636.0,1,59346.625,,,,-6478.0,end_of_day,13653.0,65824.625,-1,0
2021-06-02 13:30:00+00:00,sell,13641.75,1,59346.625,-0.02052720918569666,,,,,,,0,-1
2021-06-02 20:00:00+00:00,buy,13694.25,1,51449.5,,,,-7897.125,end_of_day,13641.75,59346.625,-1,0
2021-06-03 13:30:00+00:00,sell,13587.25,1,51449.5,0.24418245027756197,13588.026862760307,13586.965096815278,,,,,0,-1
2021-06-03 13:35:00+00:00,buy,13588.026862760307,1,44639.94931341371,,,,-6809.550686586291,stop_loss,13587.25,51449.5,-1,0
2021-06-03 13:35:00+00:00,sell,13584.5,1,44639.94931341371,0.206542029357975,13585.157110332311,13584.259014286752,,,,,0,-1
2021-06-03 13:40:00+00:00,buy,13585.157110332311,1,37834.228551601336,,,,-6805.720761812377,stop_loss,13584.5,44639.94931341371,-1,0
2021-06-03 13:40:00+00:00,sell,13570.0,1,37834.228551601336,0.2400290175979143,13570.76364867726,13569.719942889174,,,,,0,-1
2021-06-03 13:45:00+00:00,buy,13570.76364867726,1,31033.57375371748,,,,-6800.654797883854,stop_loss,13570.0,37834.228551601336,-1,0
2021-06-03 13:45:00+00:00,sell,13560.25,1,31033.57375371748,0.2555045730023423,13561.062883921953,13559.951886575072,,,,,0,-1
2021-06-03 13:50:00+00:00,buy,13561.062883921953,1,24236.78463331745,,,,-6796.789120400029,stop_loss,13560.25,31033.57375371748,-1,0
2021-06-03 13:50:00+00:00,sell,13570.0,1,24236.78463331745,0.24797593836659995,13570.7889316851,13569.710670711615,,,,,0,-1
2021-06-03 13:55:00+00:00,buy,13570.7889316851,1,17435.611533772913,,,,-6801.173099544536,stop_loss,13570.0,24236.78463331745,-1,0
2021-06-03 13:55:00+00:00,sell,13566.5,1,17435.611533772913,0.23808738587407613,13567.257471405394,13566.222208314313,,,,,0,-1
2021-06-03 14:00:00+00:00,buy,13567.257471405394,1,10636.833369962329,,,,-6798.778163810584,stop_loss,13566.5,17435.611533772913,-1,0
2021-06-03 14:00:00+00:00,sell,13567.0,1,10636.833369962329,0.2211506867655854,13567.70358755418,13566.741969437642,,,,,0,-1
2021-06-03 14:05:00+00:00,buy,13567.70358755418,1,3838.9098251016385,,,,-6797.9235448606905,stop_loss,13567.0,10636.833369962329,-1,0
2021-06-03 14:05:00+00:00,sell,13570.25,1,3838.9098251016385,0.2004363054468409,13570.887685064337,13570.016138222913,,,,,0,-1
2021-06-03 14:10:00+00:00,buy,13570.887685064337,1,100.0,,,,-3738.9098251016385,stop_loss,13570.25,3838.9098251016385,-1,0
2021-06-03 14:10:00+00:00,sell,13562.25,1,100.0,0.1790748073922505,13562.819723782417,13562.041062040407,,,,,0,-1
2021-06-03 20:00:00+00:00,buy,13492.5,1,100.0,,,,-0.0,end_of_day,13562.25,100.0,-1,0
2021-06-04 13:30:00+00:00,sell,13767.5,1,100.0,-0.22509350992423427,,,,,,,0,-1
2021-06-04 16:55:00+00:00,buy,13763.25,1,100.0,,,,-0.0,end_of_day,13767.5,100.0,-1,0
2021-06-07 13:30:00+00:00,sell,13750.5,1,100.0,-0.1770641698736709,,,,,,,0,-1
2021-06-07 20:00:00+00:00,buy,13824.75,1,100.0,,,,-0.0,end_of_day,13750.5,100.0,-1,0
2021-06-08 13:30:00+00:00,sell,13802.5,1,100.0,-0.007026534271457797,,,,,,,0,-1
2021-06-08 20:00:00+00:00,buy,13812.0,1,100.0,,,,-0.0,end_of_day,13802.5,100.0,-1,0
2021-06-09 13:30:00+00:00,sell,13874.75,1,100.0,-0.19337778360480617,,,,,,,0,-1
2021-06-09 20:00:00+00:00,buy,13809.0,1,100.0,,,,-0.0,end_of_day,13874.75,100.0,-1,0
2021-06-10 13:30:00+00:00,sell,13924.75,1,100.0,-0.06927622559377208,,,,,,,0,-1
2021-06-10 20:00:00+00:00,buy,13958.0,1,100.0,,,,-0.0,end_of_day,13924.75,100.0,-1,0
2021-06-11 13:30:00+00:00,sell,13951.25,1,100.0,-0.21739369683687773,,,,,,,0,-1
2021-06-11 16:55:00+00:00,buy,13985.0,1,100.0,,,,-0.0,end_of_day,13951.25,100.0,-1,0
2021-06-14 13:30:00+00:00,sell,14048.5,1,100.0,-0.24162341597412243,,,,,,,0,-1
2021-06-14 20:00:00+00:00,buy,14113.25,1,100.0,,,,-0.0,end_of_day,14048.5,100.0,-1,0
2021-06-15 13:30:00+00:00,sell,14038.0,1,100.0,-0.16256834716767424,,,,,,,0,-1
2021-06-15 20:00:00+00:00,buy,14032.25,1,100.0,,,,-0.0,end_of_day,14038.0,100.0,-1,0
2021-06-16 13:30:00+00:00,sell,14033.0,1,100.0,-0.10776379023273161,,,,,,,0,-1
