date,trade_type,price,portfolio_value,profitable,position_from,position_to,exit_reason
2024-05-21 18:25:00+00:00,Long,18803.5,99995.0,False,0.0,18803.5,
2024-05-22 13:35:00+00:00,Short,18779.5,99045.0,False,18803.5,0.0,
2024-05-22 13:40:00+00:00,Long,18758.0,98965.0,True,0.0,0.0,
2024-05-22 14:00:00+00:00,Flat,18735.25,98790.0,False,0.0,0.0,
2024-05-22 16:20:00+00:00,Long,18858.0,98785.0,False,0.0,0.0,
2024-05-22 16:25:00+00:00,Flat,18805.0,98460.0,False,0.0,0.0,
2024-05-22 16:30:00+00:00,Long,18789.0,98455.0,False,0.0,0.0,
2024-05-23 13:40:00+00:00,Flat,18762.5,97405.0,False,0.0,0.0,
2024-05-23 13:45:00+00:00,Long,18763.0,97400.0,False,0.0,0.0,
2024-05-23 13:50:00+00:00,Flat,18742.0,96885.0,False,0.0,0.0,
2024-05-23 13:55:00+00:00,Long,18716.5,96880.0,False,0.0,0.0,
2024-05-23 14:00:00+00:00,Flat,18694.25,97155.0,False,0.0,0.0,
2024-05-23 14:05:00+00:00,Long,18708.25,97150.0,False,0.0,0.0,
2024-05-23 14:10:00+00:00,Flat,18704.75,96520.0,False,0.0,0.0,
2024-05-23 14:15:00+00:00,Long,18673.5,96515.0,False,0.0,0.0,
2024-05-23 14:20:00+00:00,Flat,18666.75,96770.0,False,0.0,0.0,
2024-05-23 14:25:00+00:00,Long,18679.75,96765.0,False,0.0,0.0,
2024-05-23 14:30:00+00:00,Flat,18668.0,97260.0,False,0.0,0.0,
2024-05-23 14:35:00+00:00,Long,18693.0,97255.0,False,0.0,0.0,
2024-05-23 14:40:00+00:00,Flat,18663.0,97035.0,False,0.0,0.0,
2024-05-23 18:45:00+00:00,Long,18691.5,97030.0,False,0.0,0.0,
2024-05-27 18:00:00+00:00,Flat,18930.5,101720.0,True,0.0,0.0,
2024-05-27 19:05:00+00:00,Long,18922.25,101715.0,False,0.0,0.0,
2024-05-27 19:10:00+00:00,Flat,18917.5,101720.0,False,0.0,0.0,
2024-05-27 19:15:00+00:00,Long,18918.0,101715.0,False,0.0,0.0,
2024-05-27 19:20:00+00:00,Flat,18916.75,101670.0,False,0.0,0.0,
2024-05-28 13:30:00+00:00,Long,18937.0,101665.0,False,0.0,0.0,
2024-05-28 13:45:00+00:00,Short,18916.0,100815.0,False,0.0,0.0,
2024-05-28 13:50:00+00:00,Long,18899.75,100755.0,True,0.0,0.0,
2024-05-28 14:30:00+00:00,Flat,18848.25,99320.0,False,0.0,0.0,
2024-05-28 14:35:00+00:00,Long,18830.75,99315.0,False,0.0,0.0,
2024-05-28 14:50:00+00:00,Flat,18841.75,99970.0,True,0.0,0.0,
2024-05-28 16:35:00+00:00,Long,18945.25,99965.0,False,0.0,0.0,
2024-05-28 18:00:00+00:00,Flat,18938.25,99870.0,False,0.0,0.0,
2024-05-28 18:40:00+00:00,Long,18939.5,99865.0,False,0.0,0.0,
2024-05-28 19:50:00+00:00,Flat,18932.5,99635.0,False,0.0,0.0,
2024-05-29 13:30:00+00:00,Long,18834.5,99630.0,False,0.0,0.0,
2024-05-29 15:25:00+00:00,Flat,18847.5,99890.0,True,0.0,0.0,
2024-05-29 15:30:00+00:00,Long,18841.75,99885.0,False,0.0,0.0,
2024-05-29 15:45:00+00:00,Flat,18825.5,98710.0,False,0.0,0.0,
2024-05-29 15:50:00+00:00,Long,18792.25,98705.0,False,0.0,0.0,
2024-05-29 16:00:00+00:00,Flat,18796.75,98380.0,True,0.0,0.0,
2024-05-30 13:30:00+00:00,Long,18714.0,98375.0,False,0.0,0.0,
2024-05-30 14:35:00+00:00,Flat,18667.5,97470.0,False,0.0,0.0,
2024-05-30 14:40:00+00:00,Long,18668.5,97465.0,False,0.0,0.0,
2024-05-30 15:05:00+00:00,Flat,18662.5,97520.0,False,0.0,0.0,
2024-05-31 13:30:00+00:00,Short,18352.0,97515.0,False,0.0,0.0,
2024-05-31 13:35:00+00:00,Long,18345.0,97525.0,True,0.0,0.0,
2024-05-31 13:40:00+00:00,Short,18344.0,97695.0,False,0.0,0.0,
2024-05-31 13:45:00+00:00,Long,18353.0,97945.0,False,0.0,0.0,
2024-05-31 13:50:00+00:00,Short,18340.0,97960.0,False,0.0,0.0,
2024-05-31 13:55:00+00:00,Long,18341.25,98210.0,False,0.0,0.0,
2024-05-31 14:00:00+00:00,Short,18328.25,98115.0,False,0.0,0.0,
2024-05-31 14:05:00+00:00,Long,18324.0,98010.0,True,0.0,0.0,
2024-06-03 13:30:00+00:00,Flat,18549.25,102630.0,True,0.0,0.0,
2024-06-03 14:30:00+00:00,Long,18553.0,102625.0,False,0.0,0.0,
2024-06-03 18:10:00+00:00,Flat,18658.25,104425.0,True,0.0,0.0,
2024-06-03 18:55:00+00:00,Long,18659.25,104420.0,False,0.0,0.0,
2024-06-03 19:00:00+00:00,Short,18662.0,104425.0,True,0.0,0.0,
2024-06-03 19:05:00+00:00,Long,18662.75,104430.0,False,0.0,0.0,
2024-06-03 19:10:00+00:00,Short,18662.0,104430.0,False,0.0,0.0,
2024-06-03 19:15:00+00:00,Long,18662.5,104385.0,False,0.0,0.0,
2024-06-03 19:20:00+00:00,Short,18664.25,104320.0,True,0.0,0.0,
2024-06-03 19:25:00+00:00,Long,18661.5,104325.0,True,0.0,0.0,
2024-06-03 19:30:00+00:00,Short,18660.75,104300.0,False,0.0,0.0,
2024-06-03 19:35:00+00:00,Flat,18660.0,104400.0,True,0.0,0.0,
2024-06-04 13:30:00+00:00,Long,18620.0,104395.0,False,0.0,0.0,
2024-06-04 18:05:00+00:00,Flat,18698.25,105910.0,True,0.0,0.0,
2024-06-04 18:45:00+00:00,Long,18713.75,105905.0,False,0.0,0.0,
2024-06-05 18:25:00+00:00,Flat,19077.25,113165.0,True,0.0,0.0,
2024-06-05 18:40:00+00:00,Long,19092.75,113160.0,False,0.0,0.0,
2024-06-06 15:10:00+00:00,Flat,19050.0,112400.0,False,0.0,0.0,
2024-06-06 15:15:00+00:00,Long,19058.0,112395.0,False,0.0,0.0,
