date,trade_type,price,portfolio_value,profitable,position_from,position_to,exit_reason
2024-03-07 15:00:00+00:00,Long,18312.75,99998.81,False,0.0,18312.75,
2024-03-07 16:40:00+00:00,Short,18238.25,99896.75,False,18312.75,0.0,
2024-03-07 19:45:00+00:00,Flat,18271.5,99690.21,False,0.0,0.0,
2024-03-07 19:50:00+00:00,Short,18270.5,99688.81,False,0.0,0.0,
2024-03-08 16:05:00+00:00,Long,18064.75,101098.91,True,0.0,0.0,
2024-03-11 13:50:00+00:00,Flat,18205.75,103007.73,True,0.0,0.0,
2024-03-11 13:55:00+00:00,Short,18221.5,103007.01,False,0.0,0.0,
2024-03-11 14:05:00+00:00,Long,18231.0,103034.01,False,0.0,0.0,
2024-03-11 15:30:00+00:00,Flat,18218.25,102707.31,False,0.0,0.0,
2024-03-11 15:40:00+00:00,Short,18226.25,102706.51,False,0.0,0.0,
2024-03-11 15:50:00+00:00,Flat,18198.75,102683.89,True,0.0,0.0,
2024-03-11 15:55:00+00:00,Short,18216.25,102683.12,False,0.0,0.0,
2024-03-12 14:40:00+00:00,Long,18413.5,99472.46,False,0.0,0.0,
2024-03-12 15:10:00+00:00,Short,18459.0,99549.84,True,0.0,0.0,
2024-03-13 15:05:00+00:00,Flat,18378.25,101399.13,True,0.0,0.0,
2024-03-13 15:10:00+00:00,Short,18369.75,101396.69,False,0.0,0.0,
2024-03-13 15:20:00+00:00,Flat,18358.0,101914.56,True,0.0,0.0,
2024-03-13 15:25:00+00:00,Short,18314.25,101913.18,False,0.0,0.0,
2024-03-13 18:10:00+00:00,Flat,18352.5,101617.02,False,0.0,0.0,
2024-03-13 18:15:00+00:00,Long,18355.5,101616.11,False,0.0,0.0,
2024-03-13 18:25:00+00:00,Short,18354.0,101608.29,False,0.0,0.0,
2024-03-13 19:50:00+00:00,Long,18372.0,101371.56,False,0.0,0.0,
2024-03-13 19:55:00+00:00,Short,18372.5,101338.16,True,0.0,0.0,
2024-03-13 20:00:00+00:00,Long,18365.0,102873.17,True,0.0,0.0,
2024-03-14 13:30:00+00:00,Short,18244.5,102917.02,False,0.0,0.0,
2024-03-14 14:20:00+00:00,Flat,18297.25,101742.97,False,0.0,0.0,
2024-03-14 14:30:00+00:00,Short,18299.75,101742.46,False,0.0,0.0,
2024-03-14 14:35:00+00:00,Long,18279.75,101710.45,True,0.0,0.0,
2024-03-14 14:40:00+00:00,Short,18294.5,101729.49,True,0.0,0.0,
2024-03-14 15:00:00+00:00,Flat,18233.5,102889.11,True,0.0,0.0,
2024-03-14 15:05:00+00:00,Long,18198.75,102884.92,False,0.0,0.0,
2024-03-14 15:25:00+00:00,Short,18191.5,102764.64,False,0.0,0.0,
2024-03-14 18:20:00+00:00,Long,18250.25,102414.55,False,0.0,0.0,
2024-03-14 18:25:00+00:00,Short,18259.0,102411.98,True,0.0,0.0,
2024-03-14 19:05:00+00:00,Long,18242.5,102531.95,True,0.0,0.0,
2024-03-15 13:30:00+00:00,Short,18051.5,99232.07,False,0.0,0.0,
2024-03-15 14:25:00+00:00,Flat,18056.5,99363.16,False,0.0,0.0,
2024-03-15 14:40:00+00:00,Short,18093.25,99361.05,False,0.0,0.0,
2024-03-15 15:05:00+00:00,Long,18071.75,99293.08,True,0.0,0.0,
2024-03-15 15:10:00+00:00,Short,18082.0,99198.14,True,0.0,0.0,
2024-03-15 16:55:00+00:00,Long,18063.5,98211.27,True,0.0,0.0,
2024-03-18 13:40:00+00:00,Flat,18259.25,97937.82,True,0.0,0.0,
2024-03-18 13:45:00+00:00,Short,18267.5,97936.22,False,0.0,0.0,
2024-03-18 14:05:00+00:00,Long,18286.25,97829.84,False,0.0,0.0,
2024-03-18 15:10:00+00:00,Short,18288.75,97666.4,True,0.0,0.0,
2024-03-18 15:35:00+00:00,Long,18274.5,97888.38,True,0.0,0.0,
2024-03-18 16:05:00+00:00,Short,18233.75,97827.51,False,0.0,0.0,
2024-03-18 16:15:00+00:00,Long,18223.25,97892.35,True,0.0,0.0,
2024-03-18 16:20:00+00:00,Short,18220.75,97943.85,False,0.0,0.0,
2024-03-18 16:25:00+00:00,Long,18237.0,97941.56,False,0.0,0.0,
2024-03-18 16:30:00+00:00,Flat,18237.75,97902.82,True,0.0,0.0,
2024-03-18 16:35:00+00:00,Short,18226.5,97901.6,False,0.0,0.0,
2024-03-18 18:45:00+00:00,Long,18180.75,98216.82,True,0.0,0.0,
2024-03-18 18:50:00+00:00,Flat,18186.0,98218.93,True,0.0,0.0,
2024-03-18 19:00:00+00:00,Long,18177.75,98215.49,False,0.0,0.0,
2024-03-18 19:15:00+00:00,Short,18193.0,98367.93,True,0.0,0.0,
2024-03-18 20:00:00+00:00,Flat,18189.75,97981.71,True,0.0,0.0,
2024-03-19 13:40:00+00:00,Short,18263.75,97980.36,False,0.0,0.0,
2024-03-19 14:05:00+00:00,Long,18251.0,97945.21,True,0.0,0.0,
2024-03-19 15:10:00+00:00,Short,18237.0,97420.16,False,0.0,0.0,
2024-03-19 18:10:00+00:00,Long,18272.5,97090.54,False,0.0,0.0,
