date,action,price,contracts,portfolio_value,atr,stop_loss_price,take_profit_price,profit,exit_reason,entry_price,entry_portfolio,position_from,position_to
2021-06-29 15:40:00+00:00,sell,14558.75,1,100000.0,-0.3194915701050865,,,,,,,0,0
2021-06-29 20:00:00+00:00,buy,14592.0,1,92039.0,,,,-7961.0,end_of_day,14558.75,100000.0,0,0
2021-06-30 13:30:00+00:00,sell,14546.0,1,92039.0,-0.2342282462512389,,,,,,,0,-1
2021-06-30 20:00:00+00:00,buy,14557.0,1,84540.5,,,,-7498.5,end_of_day,14546.0,92039.0,-1,0
2021-07-01 13:30:00+00:00,sell,14515.5,1,84540.5,-0.14525158281597716,,,,,,,0,-1
2021-07-01 20:00:00+00:00,buy,14532.5,1,76934.25,,,,-7606.25,end_of_day,14515.5,84540.5,-1,0
2021-07-02 13:30:00+00:00,sell,14682.5,1,76934.25,-0.31670417039929166,,,,,,,0,-1
2021-07-02 16:55:00+00:00,buy,14701.0,1,69213.75,,,,-7720.5,end_of_day,14682.5,76934.25,-1,0
2021-07-05 18:00:00+00:00,sell,14703.75,1,69213.75,-0.5063732141728795,,,,,,,0,-1
2021-07-05 20:00:00+00:00,buy,14717.5,1,61580.0,,,,-7633.75,end_of_day,14703.75,69213.75,-1,0
2021-07-06 13:30:00+00:00,sell,14718.0,1,61580.0,0.06778217749848835,14718.215647969177,14717.920914225348,,,,,0,-1
2021-07-06 13:35:00+00:00,buy,14718.215647969177,1,54216.579216631864,,,,-7363.420783368134,stop_loss,14718.0,61580.0,-1,0
2021-07-06 13:35:00+00:00,sell,14719.0,1,54216.579216631864,0.03336130292331705,14719.106138479023,14718.96107524747,,,,,0,-1
2021-07-06 13:40:00+00:00,buy,14719.106138479023,1,46854.903377811905,,,,-7361.6758388199605,stop_loss,14719.0,54216.579216631864,-1,0
2021-07-06 13:40:00+00:00,sell,14734.25,1,46854.903377811905,0.04518088407930407,14734.39374229712,14734.197284590895,,,,,0,-1
2021-07-06 13:45:00+00:00,buy,14734.39374229712,1,39484.83166072097,,,,-7370.071717090932,stop_loss,14734.25,46854.903377811905,-1,0
