date,trade_type,price,portfolio_value,profitable,position_from,position_to,exit_reason
2021-09-02 18:45:00+00:00,Long,15604.0,99995.0,False,0.0,15604.0,
2021-09-03 13:30:00+00:00,Flat,15653.75,100910.0,True,15604.0,0.0,
2021-09-03 15:50:00+00:00,Long,15643.75,100905.0,False,0.0,0.0,
2021-09-03 15:55:00+00:00,Flat,15652.5,100875.0,True,0.0,0.0,
2021-09-06 18:00:00+00:00,Long,15697.75,100870.0,False,0.0,0.0,
2021-09-07 13:30:00+00:00,Flat,15696.75,100885.0,False,0.0,0.0,
2021-09-07 14:45:00+00:00,Long,15681.5,100880.0,False,0.0,0.0,
2021-09-07 14:50:00+00:00,Flat,15684.75,100980.0,True,0.0,0.0,
2021-09-07 15:25:00+00:00,Long,15679.75,100975.0,False,0.0,0.0,
2021-09-08 13:30:00+00:00,Flat,15600.75,99350.0,False,0.0,0.0,
2021-09-08 15:30:00+00:00,Long,15600.25,99345.0,False,0.0,0.0,
2021-09-08 15:50:00+00:00,Flat,15613.0,99810.0,True,0.0,0.0,
2021-09-08 18:00:00+00:00,Long,15595.25,99805.0,False,0.0,0.0,
2021-09-09 14:25:00+00:00,Flat,15581.75,99235.0,False,0.0,0.0,
2021-09-09 14:40:00+00:00,Long,15563.75,99230.0,False,0.0,0.0,
2021-09-09 14:45:00+00:00,Flat,15577.75,99370.0,True,0.0,0.0,
2021-09-09 15:45:00+00:00,Long,15569.25,99365.0,False,0.0,0.0,
2021-09-10 13:30:00+00:00,Flat,15583.0,100120.0,True,0.0,0.0,
2021-09-10 14:25:00+00:00,Long,15544.0,100115.0,False,0.0,0.0,
2021-09-13 15:20:00+00:00,Flat,15406.5,97900.0,False,0.0,0.0,
2021-09-13 16:05:00+00:00,Short,15438.75,97895.0,False,0.0,0.0,
2021-09-13 18:00:00+00:00,Flat,15440.0,97900.0,False,0.0,0.0,
2021-09-13 19:10:00+00:00,Long,15446.5,97895.0,False,0.0,0.0,
2021-09-14 13:50:00+00:00,Flat,15426.5,97425.0,False,0.0,0.0,
2021-09-14 14:15:00+00:00,Long,15382.25,97420.0,False,0.0,0.0,
2021-09-14 16:00:00+00:00,Flat,15392.25,97670.0,True,0.0,0.0,
2021-09-14 18:25:00+00:00,Long,15389.0,97665.0,False,0.0,0.0,
2021-09-14 19:35:00+00:00,Flat,15404.25,98020.0,True,0.0,0.0,
2021-09-14 19:40:00+00:00,Long,15402.0,98015.0,False,0.0,0.0,
2021-09-14 19:55:00+00:00,Flat,15407.0,98085.0,True,0.0,0.0,
2021-09-15 13:30:00+00:00,Short,15454.0,98080.0,False,0.0,0.0,
2021-09-15 18:35:00+00:00,Long,15503.75,96890.0,False,0.0,0.0,
2021-09-16 13:30:00+00:00,Flat,15427.0,95170.0,False,0.0,0.0,
2021-09-16 14:10:00+00:00,Short,15478.5,95165.0,False,0.0,0.0,
2021-09-16 15:20:00+00:00,Flat,15505.0,94685.0,False,0.0,0.0,
2021-09-16 18:00:00+00:00,Long,15494.25,94680.0,False,0.0,0.0,
2021-09-16 18:30:00+00:00,Flat,15496.75,94785.0,True,0.0,0.0,
2021-09-16 18:55:00+00:00,Long,15493.25,94780.0,False,0.0,0.0,
2021-09-17 14:45:00+00:00,Flat,15305.75,90870.0,False,0.0,0.0,
2021-09-17 16:35:00+00:00,Long,15281.25,90865.0,False,0.0,0.0,
2021-09-20 15:40:00+00:00,Flat,14925.0,83615.0,False,0.0,0.0,
2021-09-20 16:00:00+00:00,Short,15005.5,83610.0,False,0.0,0.0,
2021-09-20 16:50:00+00:00,Flat,14990.25,83385.0,True,0.0,0.0,
2021-09-20 18:45:00+00:00,Long,15001.0,83380.0,False,0.0,0.0,
2021-09-20 19:50:00+00:00,Flat,15017.5,83915.0,True,0.0,0.0,
2021-09-21 13:30:00+00:00,Long,15021.25,83910.0,False,0.0,0.0,
2021-09-21 14:05:00+00:00,Flat,15045.75,84110.0,True,0.0,0.0,
2021-09-21 14:20:00+00:00,Long,15016.75,84105.0,False,0.0,0.0,
2021-09-21 14:30:00+00:00,Flat,15031.25,84640.0,True,0.0,0.0,
2021-09-21 15:45:00+00:00,Long,15047.5,84635.0,False,0.0,0.0,
2021-09-22 13:30:00+00:00,Flat,15149.5,86600.0,True,0.0,0.0,
2021-09-22 13:50:00+00:00,Long,15121.0,86595.0,False,0.0,0.0,
2021-09-22 13:55:00+00:00,Flat,15137.75,87470.0,True,0.0,0.0,
2021-09-22 14:10:00+00:00,Short,15205.5,87465.0,False,0.0,0.0,
2021-09-22 14:20:00+00:00,Flat,15185.0,87345.0,True,0.0,0.0,
2021-09-22 14:25:00+00:00,Short,15201.5,87340.0,False,0.0,0.0,
2021-09-22 14:35:00+00:00,Flat,15162.25,88165.0,True,0.0,0.0,
2021-09-22 14:45:00+00:00,Long,15118.25,88160.0,False,0.0,0.0,
2021-09-22 15:15:00+00:00,Flat,15202.0,89645.0,True,0.0,0.0,
2021-09-22 15:35:00+00:00,Short,15207.5,89640.0,False,0.0,0.0,
2021-09-22 15:40:00+00:00,Flat,15181.25,89700.0,True,0.0,0.0,
2021-09-22 15:55:00+00:00,Long,15161.75,89695.0,False,0.0,0.0,
2021-09-22 16:15:00+00:00,Flat,15173.25,89765.0,True,0.0,0.0,
2021-09-22 16:45:00+00:00,Long,15167.5,89760.0,False,0.0,0.0,
2021-09-22 16:50:00+00:00,Flat,15175.5,89810.0,True,0.0,0.0,
2021-09-22 18:25:00+00:00,Long,15176.75,89805.0,False,0.0,0.0,
2021-09-22 18:35:00+00:00,Flat,15183.25,89930.0,True,0.0,0.0,
2021-09-22 19:25:00+00:00,Long,15190.75,89925.0,False,0.0,0.0,
2021-09-23 13:30:00+00:00,Flat,15341.25,93080.0,True,0.0,0.0,
2021-09-23 13:35:00+00:00,Short,15342.5,93075.0,False,0.0,0.0,
2021-09-23 14:00:00+00:00,Flat,15336.25,93345.0,True,0.0,0.0,
2021-09-23 15:55:00+00:00,Long,15299.5,93340.0,False,0.0,0.0,
2021-09-23 19:15:00+00:00,Flat,15313.25,93460.0,True,0.0,0.0,
2021-09-23 19:20:00+00:00,Long,15308.5,93455.0,False,0.0,0.0,
2021-09-24 13:30:00+00:00,Flat,15274.0,92830.0,False,0.0,0.0,
2021-09-24 15:40:00+00:00,Short,15325.0,92825.0,False,0.0,0.0,
2021-09-24 15:55:00+00:00,Flat,15315.75,93100.0,True,0.0,0.0,
2021-09-27 15:00:00+00:00,Long,15194.25,93095.0,False,0.0,0.0,
2021-09-27 15:05:00+00:00,Flat,15208.75,93505.0,True,0.0,0.0,
2021-09-27 15:45:00+00:00,Long,15202.5,93500.0,False,0.0,0.0,
2021-09-28 13:35:00+00:00,Flat,14799.5,85805.0,False,0.0,0.0,
2021-09-28 14:00:00+00:00,Long,14771.0,85800.0,False,0.0,0.0,
2021-09-28 14:15:00+00:00,Flat,14798.0,86855.0,True,0.0,0.0,
2021-09-28 15:25:00+00:00,Long,14802.5,86850.0,False,0.0,0.0,
2021-09-28 19:55:00+00:00,Flat,14802.0,87020.0,False,0.0,0.0,
2021-09-29 13:30:00+00:00,Long,14731.25,87015.0,False,0.0,0.0,
2021-09-29 13:50:00+00:00,Flat,14746.5,87815.0,True,0.0,0.0,
2021-09-29 14:10:00+00:00,Short,14842.0,87810.0,False,0.0,0.0,
2021-09-29 15:00:00+00:00,Flat,14821.75,87830.0,True,0.0,0.0,
2021-09-29 15:20:00+00:00,Long,14810.5,87825.0,False,0.0,0.0,
2021-09-29 19:20:00+00:00,Flat,14792.25,87530.0,False,0.0,0.0,
