date,trade_type,price,portfolio_value,profitable,position_from,position_to,exit_reason
2021-06-29 15:40:00+00:00,Short,14558.75,99995.0,False,0.0,14558.75,
2021-06-29 15:45:00+00:00,Flat,14555.5,99920.0,True,14558.75,0.0,
2021-06-29 15:50:00+00:00,Short,14559.0,99915.0,False,0.0,0.0,
2021-06-29 15:55:00+00:00,Flat,14564.0,99680.0,False,0.0,0.0,
2021-06-29 16:00:00+00:00,Short,14575.5,99675.0,False,0.0,0.0,
2021-06-29 16:05:00+00:00,Flat,14582.5,99715.0,False,0.0,0.0,
2021-06-29 16:10:00+00:00,Short,14580.25,99710.0,False,0.0,0.0,
2021-06-29 16:15:00+00:00,Flat,14582.5,99675.0,False,0.0,0.0,
2021-06-29 18:15:00+00:00,Short,14579.5,99670.0,False,0.0,0.0,
2021-06-29 18:20:00+00:00,Flat,14582.0,99685.0,False,0.0,0.0,
2021-06-29 18:25:00+00:00,Short,14581.0,99680.0,False,0.0,0.0,
2021-06-29 18:30:00+00:00,Flat,14578.5,99695.0,True,0.0,0.0,
2021-06-29 18:35:00+00:00,Short,14577.5,99690.0,False,0.0,0.0,
2021-06-29 18:40:00+00:00,Flat,14579.0,99705.0,False,0.0,0.0,
2021-06-29 18:45:00+00:00,Short,14578.0,99700.0,False,0.0,0.0,
2021-06-29 18:50:00+00:00,Flat,14579.25,99700.0,False,0.0,0.0,
2021-06-29 18:55:00+00:00,Short,14579.0,99695.0,False,0.0,0.0,
2021-06-29 19:00:00+00:00,Flat,14580.75,99670.0,False,0.0,0.0,
2021-06-29 19:05:00+00:00,Short,14581.75,99665.0,False,0.0,0.0,
2021-06-29 19:10:00+00:00,Flat,14584.0,99670.0,False,0.0,0.0,
2021-06-29 19:15:00+00:00,Short,14583.5,99665.0,False,0.0,0.0,
2021-06-29 19:25:00+00:00,Flat,14586.25,99705.0,False,0.0,0.0,
2021-06-29 19:30:00+00:00,Short,14584.75,99700.0,False,0.0,0.0,
2021-06-29 19:35:00+00:00,Flat,14585.5,99670.0,False,0.0,0.0,
2021-06-29 19:40:00+00:00,Short,14586.75,99665.0,False,0.0,0.0,
2021-06-29 19:50:00+00:00,Flat,14588.75,99655.0,False,0.0,0.0,
2021-06-29 19:55:00+00:00,Short,14587.5,99650.0,False,0.0,0.0,
2021-06-29 20:00:00+00:00,Flat,14592.0,100565.0,False,0.0,0.0,
2021-06-30 13:30:00+00:00,Short,14546.0,100560.0,False,0.0,0.0,
2021-06-30 13:35:00+00:00,Flat,14549.75,100575.0,False,0.0,0.0,
2021-06-30 13:40:00+00:00,Short,14548.75,100570.0,False,0.0,0.0,
2021-06-30 13:45:00+00:00,Flat,14548.25,100620.0,True,0.0,0.0,
2021-06-30 13:50:00+00:00,Short,14545.5,100615.0,False,0.0,0.0,
2021-06-30 13:55:00+00:00,Flat,14548.75,100725.0,False,0.0,0.0,
2021-06-30 14:00:00+00:00,Short,14543.0,100720.0,False,0.0,0.0,
2021-06-30 14:05:00+00:00,Flat,14533.5,100725.0,True,0.0,0.0,
2021-06-30 14:10:00+00:00,Short,14533.0,100720.0,False,0.0,0.0,
2021-06-30 14:15:00+00:00,Flat,14537.0,100805.0,False,0.0,0.0,
2021-06-30 14:20:00+00:00,Short,14532.5,100800.0,False,0.0,0.0,
2021-06-30 14:25:00+00:00,Flat,14536.0,100625.0,False,0.0,0.0,
2021-06-30 14:30:00+00:00,Short,14544.5,100620.0,False,0.0,0.0,
2021-06-30 14:35:00+00:00,Flat,14547.0,100560.0,False,0.0,0.0,
2021-06-30 14:40:00+00:00,Short,14549.75,100555.0,False,0.0,0.0,
2021-06-30 14:45:00+00:00,Flat,14547.25,100625.0,True,0.0,0.0,
2021-06-30 14:50:00+00:00,Short,14543.5,100620.0,False,0.0,0.0,
2021-06-30 14:55:00+00:00,Flat,14543.75,100525.0,False,0.0,0.0,
2021-06-30 15:00:00+00:00,Short,14548.25,100520.0,False,0.0,0.0,
2021-06-30 15:05:00+00:00,Flat,14552.75,100600.0,False,0.0,0.0,
2021-06-30 15:10:00+00:00,Short,14548.5,100595.0,False,0.0,0.0,
2021-06-30 15:15:00+00:00,Flat,14551.0,100490.0,False,0.0,0.0,
2021-06-30 15:20:00+00:00,Short,14556.0,100485.0,False,0.0,0.0,
2021-06-30 15:45:00+00:00,Flat,14560.5,100470.0,False,0.0,0.0,
2021-06-30 15:50:00+00:00,Short,14554.75,100465.0,False,0.0,0.0,
2021-06-30 16:00:00+00:00,Flat,14552.5,100375.0,True,0.0,0.0,
2021-06-30 16:05:00+00:00,Short,14547.75,100370.0,False,0.0,0.0,
2021-06-30 16:10:00+00:00,Flat,14553.0,100395.0,False,0.0,0.0,
2021-06-30 16:15:00+00:00,Short,14551.5,100390.0,False,0.0,0.0,
2021-06-30 16:20:00+00:00,Flat,14552.0,100300.0,False,0.0,0.0,
2021-06-30 16:25:00+00:00,Short,14556.25,100295.0,False,0.0,0.0,
2021-06-30 16:30:00+00:00,Flat,14557.5,100270.0,False,0.0,0.0,
2021-06-30 16:35:00+00:00,Short,14558.5,100265.0,False,0.0,0.0,
2021-06-30 16:40:00+00:00,Flat,14556.25,100245.0,True,0.0,0.0,
2021-06-30 16:45:00+00:00,Short,14557.0,100240.0,False,0.0,0.0,
2021-06-30 16:50:00+00:00,Flat,14555.25,100230.0,True,0.0,0.0,
2021-06-30 16:55:00+00:00,Short,14555.5,100225.0,False,0.0,0.0,
2021-06-30 18:00:00+00:00,Flat,14559.5,100255.0,False,0.0,0.0,
