date,trade_type,price,portfolio_value,profitable,position_from,position_to,exit_reason
2020-05-21 19:50:00+00:00,Short,9397.5,99995.0,False,0.0,9397.5,
2020-05-22 13:30:00+00:00,Flat,9400.5,100145.0,False,9397.5,0.0,
2020-05-22 13:50:00+00:00,Long,9384.25,100140.0,False,0.0,0.0,
2020-05-22 13:55:00+00:00,Flat,9397.25,100365.0,True,0.0,0.0,
2020-05-22 15:20:00+00:00,Short,9389.0,100360.0,False,0.0,0.0,
2020-05-25 18:00:00+00:00,Flat,9509.75,97830.0,False,0.0,0.0,
2020-05-25 18:10:00+00:00,Long,9514.25,97825.0,False,0.0,0.0,
2020-05-25 19:20:00+00:00,Flat,9506.75,97640.0,False,0.0,0.0,
2020-05-25 19:25:00+00:00,Short,9506.25,97635.0,False,0.0,0.0,
2020-05-25 19:40:00+00:00,Flat,9511.75,97580.0,False,0.0,0.0,
2020-05-25 19:45:00+00:00,Long,9512.75,97575.0,False,0.0,0.0,
2020-05-26 14:00:00+00:00,Flat,9459.75,96410.0,False,0.0,0.0,
2020-05-26 14:05:00+00:00,Short,9459.0,96405.0,False,0.0,0.0,
2020-05-26 14:10:00+00:00,Flat,9457.75,96365.0,True,0.0,0.0,
2020-05-26 14:15:00+00:00,Short,9459.5,96360.0,False,0.0,0.0,
2020-05-26 14:20:00+00:00,Long,9463.25,96455.0,False,0.0,0.0,
2020-05-26 14:25:00+00:00,Short,9458.0,96395.0,False,0.0,0.0,
2020-05-26 14:35:00+00:00,Flat,9453.75,96650.0,True,0.0,0.0,
2020-05-26 14:40:00+00:00,Short,9442.5,96645.0,False,0.0,0.0,
2020-05-26 15:10:00+00:00,Flat,9436.75,96975.0,True,0.0,0.0,
2020-05-26 15:15:00+00:00,Long,9424.25,96970.0,False,0.0,0.0,
2020-05-26 15:20:00+00:00,Short,9437.25,96695.0,True,0.0,0.0,
2020-05-26 15:30:00+00:00,Flat,9402.25,97000.0,True,0.0,0.0,
2020-05-26 15:35:00+00:00,Short,9408.5,96995.0,False,0.0,0.0,
2020-05-26 15:40:00+00:00,Flat,9386.25,97180.0,True,0.0,0.0,
2020-05-26 15:50:00+00:00,Short,9378.75,97175.0,False,0.0,0.0,
2020-05-26 16:40:00+00:00,Flat,9410.25,96730.0,False,0.0,0.0,
2020-05-26 16:45:00+00:00,Short,9409.75,96725.0,False,0.0,0.0,
2020-05-26 16:50:00+00:00,Flat,9405.5,96570.0,True,0.0,0.0,
2020-05-26 18:25:00+00:00,Long,9397.0,96565.0,False,0.0,0.0,
2020-05-26 18:30:00+00:00,Flat,9394.75,96605.0,False,0.0,0.0,
2020-05-26 19:00:00+00:00,Long,9409.25,96600.0,False,0.0,0.0,
2020-05-26 19:05:00+00:00,Flat,9410.0,96405.0,True,0.0,0.0,
2020-05-26 19:10:00+00:00,Short,9400.5,96400.0,False,0.0,0.0,
2020-05-26 19:20:00+00:00,Flat,9396.0,96400.0,True,0.0,0.0,
2020-05-26 19:25:00+00:00,Long,9393.75,96395.0,False,0.0,0.0,
2020-05-26 19:30:00+00:00,Short,9398.0,96225.0,True,0.0,0.0,
2020-05-26 19:35:00+00:00,Flat,9390.0,96210.0,True,0.0,0.0,
2020-05-26 19:40:00+00:00,Long,9390.5,96205.0,False,0.0,0.0,
2020-05-27 13:35:00+00:00,Flat,9336.5,94925.0,False,0.0,0.0,
2020-05-27 13:40:00+00:00,Long,9330.0,94920.0,False,0.0,0.0,
2020-05-27 14:15:00+00:00,Flat,9382.0,95625.0,True,0.0,0.0,
2020-05-27 14:30:00+00:00,Short,9376.5,95620.0,False,0.0,0.0,
2020-05-27 14:35:00+00:00,Flat,9368.75,95705.0,True,0.0,0.0,
2020-05-27 14:40:00+00:00,Short,9364.25,95700.0,False,0.0,0.0,
2020-05-27 15:30:00+00:00,Flat,9385.25,95075.0,False,0.0,0.0,
2020-05-27 15:40:00+00:00,Short,9420.0,95070.0,False,0.0,0.0,
2020-05-27 18:50:00+00:00,Flat,9434.25,94790.0,False,0.0,0.0,
