timestamp,open,high,low,close,volume,source,price_volatility,returns
2025-01-19 23:00:00,21600.0,21618.0,21581.25,21586.5,1614,live.csv,,
2025-01-19 23:05:00,21587.25,21587.25,21541.0,21560.0,1277,live.csv,,-0.0012276191137979842
2025-01-19 23:10:00,21561.25,21563.25,21541.5,21561.0,801,live.csv,,4.6382189239357885e-05
2025-01-19 23:15:00,21560.0,21571.25,21555.5,21560.5,535,live.csv,,-2.3190019015850716e-05
2025-01-19 23:20:00,21562.75,21575.0,21557.75,21566.25,348,live.csv,,0.00026669140326052165
2025-01-19 23:25:00,21565.25,21566.25,21550.75,21554.5,393,live.csv,,-0.0005448327827044519
2025-01-19 23:30:00,21553.75,21556.0,21533.0,21534.5,654,live.csv,,-0.0009278804889930603
2025-01-19 23:35:00,21535.5,21542.25,21528.5,21531.0,361,live.csv,,-0.00016252989389120565
2025-01-19 23:40:00,21532.75,21549.75,21532.75,21548.25,517,live.csv,,0.000801170405461793
2025-01-19 23:45:00,21548.0,21552.0,21526.5,21537.5,608,live.csv,,-0.0004988804195236174
2025-01-19 23:50:00,21536.5,21546.5,21536.25,21542.5,313,live.csv,,0.0002321532211260191
2025-01-19 23:55:00,21541.75,21545.25,21528.75,21545.0,376,live.csv,,0.00011604966925848892
2025-01-20 00:00:00,21546.0,21553.0,21540.5,21551.0,495,live.csv,,0.0002784868879091018
2025-01-20 00:05:00,21550.75,21556.0,21543.0,21547.25,369,live.csv,,-0.0001740058465964367
2025-01-20 00:10:00,21545.75,21559.75,21542.25,21558.75,295,live.csv,,0.0005337107983618417
2025-01-20 00:15:00,21559.25,21559.5,21543.5,21548.75,420,live.csv,,-0.00046384878529603935
2025-01-20 00:20:00,21548.0,21554.25,21544.0,21548.5,182,live.csv,,-1.1601601020982955e-05
2025-01-20 00:25:00,21548.5,21552.5,21544.5,21547.0,166,live.csv,,-6.9610413717891e-05
2025-01-20 00:30:00,21547.25,21547.5,21542.75,21544.5,161,live.csv,,-0.00011602543277489108
2025-01-20 00:35:00,21543.75,21554.25,21543.75,21550.0,265,live.csv,12.334769801361453,0.0002552855717237179
2025-01-20 00:40:00,21550.0,21552.75,21538.25,21540.25,332,live.csv,9.33069354899128,-0.00045243619489554465
2025-01-20 00:45:00,21539.75,21544.0,21535.75,21537.25,246,live.csv,9.286476797779931,-0.00013927414955727802
2025-01-20 00:50:00,21537.25,21550.5,21536.5,21549.5,291,live.csv,8.761636998566477,0.000568781993987244
2025-01-20 00:55:00,21549.25,21558.0,21548.75,21557.0,318,live.csv,8.512094723325045,0.00034803591730669936
2025-01-20 01:00:00,21557.0,21573.0,21548.5,21572.5,676,live.csv,9.332632335825826,0.0007190239829288902
2025-01-20 01:05:00,21572.25,21577.0,21564.5,21570.0,602,live.csv,10.53084442057902,-0.00011588828369446524
2025-01-20 01:10:00,21569.75,21573.0,21565.0,21567.25,301,live.csv,10.854260320499872,-0.00012749188687988244
2025-01-20 01:15:00,21566.0,21567.25,21547.0,21549.5,488,live.csv,9.926531102895717,-0.0008230071056810617
2025-01-20 01:20:00,21550.0,21552.5,21540.25,21550.75,447,live.csv,9.910943911174122,5.800598621785724e-05
2025-01-20 01:25:00,21549.75,21554.0,21545.25,21546.75,211,live.csv,9.466561650018138,-0.00018560838949921443
2025-01-20 01:30:00,21546.25,21561.5,21543.25,21560.5,424,live.csv,9.45153844341063,0.0006381472843932645
2025-01-20 01:35:00,21561.5,21570.25,21559.0,21569.75,417,live.csv,10.072851409913515,0.0004290253008973899
2025-01-20 01:40:00,21568.5,21568.5,21552.25,21563.25,393,live.csv,10.293265555174633,-0.0003013479525724172
2025-01-20 01:45:00,21562.5,21572.0,21560.75,21571.25,242,live.csv,10.854722474565987,0.0003710015883504614
2025-01-20 01:50:00,21570.75,21572.0,21560.75,21569.25,278,live.csv,11.283459016111223,-9.27159993046045e-05
2025-01-20 01:55:00,21569.25,21571.25,21556.5,21564.0,393,live.csv,11.306110073753482,-0.000243402065440379
2025-01-20 02:00:00,21564.5,21566.5,21559.0,21559.25,186,live.csv,11.163527314656585,-0.00022027453162676291
2025-01-20 02:05:00,21558.5,21565.5,21557.0,21561.25,225,live.csv,10.94600233441728,9.276760555221308e-05
2025-01-20 02:10:00,21560.25,21566.5,21559.5,21565.75,105,live.csv,10.62519349667972,0.00020870775117387552
2025-01-20 02:15:00,21564.75,21571.0,21564.0,21568.25,189,live.csv,10.61784588867012,0.00011592455629871878
